Player,Team,Pos,GP,W%,CTR%,K,D,A,KDA,KP,KS%,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,EGPM,GOLD%,WPM,WCPM,MVP
Akaadian,TSM,Jungle,12.00,0.42,0.42,13.00,34.00,75.00,2.60,0.71,0.11,0.22,0.42,-51.00,-126.00,-0.20,4.90,0.15,240.00,0.13,178.00,0.17,0.71,0.39,0
Amazing,100 Thieves,Jungle,19.00,0.42,0.32,29.00,50.00,121.00,3.00,0.82,0.16,0.23,0.32,-176.00,-67.00,-4.00,4.80,0.14,198.00,0.11,173.00,0.17,0.36,0.45,0
aphromoo,100 Thieves,Support,19.00,0.42,0.47,18.00,46.00,123.00,3.10,0.77,0.10,0.21,0.21,-85.00,45.00,-8.20,0.90,0.04,128.00,0.08,107.00,0.10,1.14,0.33,0
Apollo,Echo Fox,ADC,14.00,0.21,0.43,44.00,37.00,52.00,2.60,0.73,0.33,0.17,0.00,-122.00,-53.00,3.40,8.90,0.29,472.00,0.26,278.00,0.26,0.42,0.30,0
Armao,TSM,Jungle,4.00,1.00,0.75,11.00,8.00,26.00,4.60,0.60,0.18,0.24,0.25,-44.00,51.00,6.30,4.70,0.13,250.00,0.15,192.00,0.16,0.70,0.23,0
Arrow,OpTic Gaming,ADC,20.00,0.50,0.45,51.00,31.00,88.00,4.50,0.68,0.25,0.15,0.25,-74.00,-34.00,-4.10,9.20,0.30,491.00,0.27,291.00,0.26,0.44,0.40,0
Bang,100 Thieves,ADC,19.00,0.42,0.53,45.00,28.00,96.00,5.00,0.77,0.25,0.13,0.21,-32.00,-8.00,2.80,9.20,0.31,534.00,0.31,282.00,0.27,0.56,0.26,0
Big,OpTic Gaming,Support,20.00,0.50,0.65,11.00,50.00,129.00,2.80,0.68,0.05,0.23,0.25,76.00,4.00,2.20,1.20,0.04,154.00,0.09,105.00,0.10,1.45,0.37,0
Biofrost,Counter Logic Gaming,Support,19.00,0.63,0.21,22.00,34.00,136.00,4.60,0.74,0.10,0.18,0.16,36.00,129.00,-0.70,1.50,0.04,196.00,0.11,127.00,0.11,1.37,0.38,0
Bjergsen,TSM,Middle,18.00,0.56,0.61,58.00,33.00,82.00,4.20,0.68,0.28,0.16,0.11,48.00,-12.00,1.00,8.60,0.26,491.00,0.26,275.00,0.25,0.48,0.17,0
Blaber,Cloud9,Jungle,4.00,0.50,0.00,13.00,10.00,33.00,4.60,0.72,0.20,0.21,1.00,786.00,699.00,9.80,5.10,0.15,308.00,0.15,207.00,0.18,0.67,0.45,0
Broken Blade,TSM,Top,18.00,0.56,0.56,46.00,45.00,86.00,2.90,0.64,0.22,0.21,0.22,-52.00,-36.00,0.20,8.00,0.26,438.00,0.23,252.00,0.23,0.55,0.16,0
Cody Sun,Clutch Gaming,ADC,18.00,0.50,0.50,60.00,26.00,71.00,5.00,0.68,0.31,0.14,0.22,119.00,338.00,9.00,9.50,0.31,477.00,0.28,307.00,0.27,0.40,0.29,0
Contractz,Golden Guardians,Jungle,19.00,0.42,0.42,41.00,51.00,111.00,3.00,0.72,0.19,0.20,0.37,-30.00,-35.00,-1.30,4.70,0.13,254.00,0.13,184.00,0.17,0.55,0.41,0
CoreJJ,Team Liquid,Support,18.00,0.78,0.50,14.00,33.00,183.00,6.00,0.79,0.06,0.21,0.44,258.00,95.00,5.20,1.30,0.04,172.00,0.09,136.00,0.11,1.22,0.38,0
Crown,OpTic Gaming,Middle,18.00,0.50,0.50,48.00,43.00,76.00,2.90,0.67,0.26,0.23,0.33,41.00,126.00,2.20,9.30,0.28,530.00,0.31,284.00,0.25,0.57,0.22,0
Damonte,Clutch Gaming,Middle,18.00,0.50,0.28,49.00,32.00,70.00,3.70,0.61,0.25,0.17,0.33,-108.00,-216.00,-3.30,8.30,0.24,368.00,0.22,252.00,0.23,0.44,0.24,0
Deftly,Golden Guardians,ADC,8.00,0.50,0.13,20.00,15.00,43.00,4.20,0.66,0.21,0.15,0.25,229.00,-161.00,-3.80,9.10,0.29,524.00,0.30,291.00,0.25,0.41,0.39,0
Deftly,Cloud9,ADC,2.00,0.50,0.50,10.00,4.00,14.00,6.00,0.75,0.31,0.15,0.50,509.00,338.00,28.50,8.30,0.32,589.00,0.26,288.00,0.25,0.42,0.37,0
Dhokla,OpTic Gaming,Top,20.00,0.50,0.30,48.00,37.00,58.00,2.90,0.52,0.23,0.17,0.15,-53.00,-40.00,-1.70,8.00,0.25,362.00,0.21,249.00,0.23,0.49,0.19,0
Doublelift,Team Liquid,ADC,18.00,0.78,0.50,78.00,33.00,112.00,5.80,0.76,0.31,0.21,0.44,240.00,160.00,0.80,9.10,0.30,571.00,0.30,320.00,0.26,0.47,0.37,0
FakeGod,100 Thieves,Top,15.00,0.53,0.67,29.00,38.00,62.00,2.40,0.56,0.18,0.23,0.33,-49.00,65.00,-3.40,7.40,0.24,373.00,0.21,230.00,0.21,0.54,0.17,0
FBI,Golden Guardians,ADC,11.00,0.36,0.73,37.00,34.00,52.00,2.60,0.77,0.32,0.22,0.36,9.00,-251.00,-0.10,8.50,0.28,556.00,0.27,272.00,0.25,0.49,0.29,0
Fenix,Echo Fox,Middle,14.00,0.21,0.29,37.00,34.00,55.00,2.70,0.70,0.28,0.16,0.07,-3.00,71.00,5.60,9.00,0.28,524.00,0.30,265.00,0.25,0.39,0.20,0
Froggen,Golden Guardians,Middle,19.00,0.42,0.68,59.00,44.00,97.00,3.50,0.74,0.28,0.17,0.16,159.00,151.00,5.30,8.50,0.25,560.00,0.28,265.00,0.24,0.49,0.28,0
