Player,Team,Pos,GP,W%,CTR%,K,D,A,KDA,KP,KS%,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,EGPM,GOLD%,WPM,WCPM,MVP
Akaadian,Dignitas,Jungle,8.00,0.50,0.38,29.00,17.00,34.00,3.70,0.65,0.30,0.19,0.38,208.00,-39.00,-3.50,5.30,0.16,290.00,0.16,197.00,0.19,0.50,0.34,0
Altec,Immortals,ADC,10.00,0.50,0.60,30.00,15.00,29.00,3.90,0.72,0.37,0.15,0.10,-289.00,-273.00,-5.80,8.90,0.32,480.00,0.30,272.00,0.28,0.49,0.30,0
aphromoo,Dignitas,Support,20.00,0.45,0.30,12.00,51.00,114.00,2.50,0.65,0.06,0.23,0.15,-141.00,-125.00,-1.90,1.00,0.02,96.00,0.06,86.00,0.08,1.30,0.33,0
Apollo,Immortals,ADC,9.00,0.33,0.67,35.00,11.00,28.00,5.70,0.77,0.43,0.11,0.00,-27.00,84.00,1.20,9.30,0.32,476.00,0.29,286.00,0.29,0.48,0.28,0
Armao,Dignitas,Jungle,12.00,0.42,0.50,15.00,34.00,50.00,1.90,0.67,0.16,0.26,0.33,-82.00,8.00,1.30,4.70,0.13,176.00,0.11,149.00,0.15,0.41,0.31,0
Bang,Evil Geniuses,ADC,19.00,0.58,0.47,66.00,18.00,98.00,9.10,0.73,0.29,0.09,0.26,-4.00,-35.00,-7.10,8.70,0.30,575.00,0.31,283.00,0.27,0.70,0.39,0
Biofrost,TSM,Support,18.00,0.50,0.50,16.00,31.00,129.00,4.70,0.69,0.08,0.18,0.28,62.00,61.00,0.30,1.10,0.03,119.00,0.08,96.00,0.10,1.50,0.44,0
Bjergsen,TSM,Middle,18.00,0.50,0.61,59.00,28.00,89.00,5.30,0.71,0.28,0.16,0.28,181.00,77.00,2.60,8.00,0.25,450.00,0.26,243.00,0.24,0.42,0.16,0
Blaber,Cloud9,Jungle,18.00,0.94,0.50,72.00,31.00,134.00,6.60,0.72,0.25,0.23,0.50,221.00,402.00,6.70,6.00,0.18,370.00,0.18,238.00,0.19,0.62,0.35,1
Broken Blade,TSM,Top,18.00,0.50,0.44,51.00,37.00,90.00,3.80,0.68,0.24,0.21,0.39,113.00,70.00,-0.30,7.10,0.23,432.00,0.26,229.00,0.23,0.56,0.13,0
Broxah,Team Liquid,Jungle,12.00,0.42,0.50,18.00,21.00,65.00,4.00,0.71,0.15,0.21,0.17,-119.00,-123.00,-3.50,4.70,0.13,194.00,0.11,159.00,0.15,0.55,0.30,0
Closer,Golden Guardians,Jungle,19.00,0.47,0.42,30.00,48.00,88.00,2.50,0.71,0.18,0.20,0.37,-14.00,10.00,1.10,5.10,0.15,183.00,0.11,172.00,0.17,0.38,0.37,0
