"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","EGPM","GOLD%","WPM","WCPM"
"Adrian","Phoenix1","Support",29,"62%",,18,76,268,3.8,"70.3%","4.4%","20.5%","14%",-9,73,-1.4,0.8,"2.9%",218,"10.1%",144,"12.3%",1.59,0.36
"Adrian","Team Liquid","Support",3,"0%",,3,8,11,1.8,"77.8%","16.7%","15.1%","33%",-40,182,-2,0.8,"3.3%",178,"11.8%",104,"11.2%",1.89,0.33
"Akaadian","Echo Fox","Jungle",43,"35%",,178,144,211,2.7,"67.2%","30.7%","21.3%","47%",50,-161,-2.1,5.4,"18.6%",326,"16.5%",229,"20.6%",0.61,0.29
"Alex Ich","Team EnVyUs","Middle",4,"0%",,16,19,23,2.1,"57.4%","23.5%","22.9%","25%",-384,-372,-1.5,7.6,"26.8%",521,"19.5%",240,"22.1%",0.3,0.14
"Altec","FlyQuest","ADC",43,"51%",,149,91,233,4.2,"63.3%","24.7%","15.3%","14%",-15,-51,-5,8.4,"28.1%",494,"24.2%",269,"23.5%",0.43,0.21
"aphromoo","Counter Logic Gaming","ADC",2,"0%",,1,9,3,0.4,"25.0%","6.3%","23.1%","0%",-1116,-436,-25.5,7.3,"23.7%",269,"19.7%",181,"19.8%",0.49,0.26
"aphromoo","Counter Logic Gaming","Support",42,"52%",,31,151,381,2.7,"66.5%","5.0%","21.5%","19%",-89,-125,-2.1,0.6,"2.3%",169,"8.1%",134,"11.6%",1.18,0.32
"Apollo","Team EnVyUs","ADC",45,"31%",,134,98,214,3.6,"62.0%","23.9%","15.8%","24%",74,-50,0.7,8.9,"27.2%",491,"25.1%",268,"23.3%",0.4,0.21
"Arrow","Phoenix1","ADC",41,"63%",,161,78,251,5.3,"70.7%","27.6%","14.8%","17%",55,41,1.6,8.4,"27.9%",589,"27.6%",273,"23.7%",0.5,0.25
"BalIs","FlyQuest","Top",43,"51%",,78,120,274,2.9,"58.4%","12.9%","20.2%","16%",-143,-164,-3.6,7.6,"25.1%",372,"18.4%",233,"20.6%",0.45,0.1
"Benji","Dignitas","ADC",44,"50%",,150,100,244,3.9,"68.6%","26.1%","18.8%","11%",-188,-109,-5.2,7.9,"25.4%",495,"26.7%",252,"22.5%",0.26,0.23
"Biofrost","TSM","Support",47,"66%",,38,100,445,4.8,"69.0%","5.4%","18.1%","9%",-30,-38,0.7,0.9,"3.6%",164,"8.9%",146,"12.0%",1.41,0.45
"Bjergsen","TSM","Middle",47,"66%",,197,87,284,5.5,"68.7%","28.1%","15.7%","17%",140,172,7.8,9,"27.5%",508,"27.3%",289,"24.0%",0.45,0.14
"Chaser","Dignitas","Jungle",44,"50%",,124,117,277,3.4,"69.9%","21.6%","22.0%","36%",-49,-2,-2.3,4.6,"14.8%",270,"15.0%",209,"18.7%",0.71,0.3
"Cody Sun","Immortals","ADC",44,"48%",,125,98,237,3.7,"59.8%","20.7%","15.3%","18%",129,150,4.9,8.8,"27.9%",478,"24.3%",275,"23.2%",0.44,0.14
"Contractz","Cloud9","Jungle",44,"70%",,160,124,296,3.7,"67.5%","23.7%","24.2%","34%",-134,-167,-4.8,4.8,"15.3%",347,"16.8%",228,"19.0%",0.63,0.32
"Dardoch","Immortals","Jungle",44,"48%",,181,150,237,2.8,"69.1%","29.9%","23.5%","43%",183,150,1.5,5,"15.8%",364,"18.4%",231,"19.9%",0.56,0.28
"Darshan","Counter Logic Gaming","Top",44,"50%",,119,139,279,2.9,"62.6%","18.7%","18.8%","34%",53,-136,-1.6,7.3,"24.4%",401,"20.2%",233,"21.1%",0.53,0.1
"Doublelift","Team Liquid","ADC",15,"33%",,42,33,76,3.6,"66.3%","23.6%","14.5%","7%",307,224,9.8,8.7,"27.8%",462,"24.7%",261,"24.4%",0.42,0.28
"Flame","Immortals","Top",44,"48%",,81,122,242,2.6,"53.4%","13.4%","19.1%","16%",45,72,3.2,8,"25.0%",369,"18.4%",243,"20.8%",0.51,0.11
"Froggen","Echo Fox","Middle",43,"35%",,154,108,266,3.9,"72.5%","26.6%","16.0%","21%",99,187,4.4,8.8,"29.6%",622,"31.4%",275,"24.9%",0.43,0.2
"Galen","FlyQuest","Jungle",43,"51%",,158,105,240,3.8,"66.0%","26.2%","17.6%","44%",34,149,3,5,"16.1%",336,"16.5%",224,"19.6%",0.59,0.25
"Gate","Echo Fox","Support",43,"35%",,50,158,322,2.4,"64.2%","8.6%","23.4%","19%",27,-42,1,0.9,"3.4%",216,"11.2%",139,"12.3%",1.47,0.34
"Goldenglue","Team Liquid","Middle",26,"35%",,80,82,113,2.4,"60.7%","25.2%","20.4%","4%",-239,-213,-6.7,8.4,"26.8%",457,"23.9%",254,"23.1%",0.49,0.23
"Hai","FlyQuest","Middle",43,"51%",,185,153,220,2.6,"67.2%","30.7%","25.7%","26%",66,-125,-3,8.2,"27.1%",601,"30.0%",272,"23.8%",0.45,0.21
"Hakuho","Team EnVyUs","Support",45,"31%",,51,108,300,3.3,"62.6%","9.1%","17.4%","27%",98,93,-2.5,0.8,"3.1%",294,"14.8%",140,"12.0%",1.26,0.47
"Hauntzer","TSM","Top",47,"66%",,149,108,328,4.4,"68.1%","21.3%","19.5%","28%",105,142,2,8.5,"27.4%",427,"23.3%",272,"22.7%",0.54,0.14
"huhi","Counter Logic Gaming","Middle",44,"50%",,187,150,238,2.8,"66.8%","29.4%","20.3%","23%",-113,-71,-5.4,8.3,"28.1%",559,"28.1%",266,"23.8%",0.57,0.21
"Impact","Cloud9","Top",34,"74%",,78,80,262,4.3,"64.9%","14.9%","21.2%","15%",-26,118,1.7,7.8,"24.4%",411,"19.9%",248,"20.6%",0.54,0.13
"Inori","Phoenix1","Jungle",22,"55%",,97,75,128,3,"71.7%","30.9%","23.7%","32%",-180,-197,-7.4,4.9,"17.1%",399,"18.0%",228,"20.3%",0.41,0.23
"Jensen","Cloud9","Middle",44,"70%",,215,88,261,5.4,"70.4%","31.8%","17.2%","20%",28,190,7.4,9.7,"31.4%",588,"28.0%",313,"25.9%",0.38,0.19
"Joey","Counter Logic Gaming","Support",2,"0%",,0,11,8,0.7,"50.0%","0.0%","28.2%","0%",-927,-583,2,0.7,"2.6%",137,"9.7%",85,"9.5%",1.15,0.36
"Keane","Dignitas","Middle",44,"50%",,162,102,217,3.7,"66.0%","28.2%","19.2%","20%",74,117,1.7,8.6,"27.9%",485,"26.5%",272,"24.3%",0.37,0.18
