"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","EGPM","GOLD%","WPM","WCPM"
"Akaadian","TSM","Jungle",12,"42%","42%",13,34,75,2.6,"71.0%","10.5%","22.4%","42%",-51,-126,-0.2,4.9,"14.6%",240,"13.1%",178,"16.8%",0.71,0.39
"Amazing","100 Thieves","Jungle",19,"42%","32%",29,50,121,3,"82.0%","15.8%","22.8%","32%",-176,-67,-4,4.8,"13.7%",198,"11.3%",173,"16.6%",0.36,0.45
"aphromoo","100 Thieves","Support",19,"42%","47%",18,46,123,3.1,"77.0%","9.8%","21.0%","21%",-85,45,-8.2,0.9,"3.5%",128,"7.8%",107,"9.9%",1.14,0.33
"Apollo","Echo Fox","ADC",14,"21%","43%",44,37,52,2.6,"72.7%","33.3%","17.4%","0%",-122,-53,3.4,8.9,"29.0%",472,"25.8%",278,"25.9%",0.42,0.3
"Armao","TSM","Jungle",4,"100%","75%",11,8,26,4.6,"59.7%","17.7%","23.5%","25%",-44,51,6.3,4.7,"12.9%",250,"14.7%",192,"15.7%",0.7,0.23
"Arrow","OpTic Gaming","ADC",20,"50%","45%",51,31,88,4.5,"67.8%","24.9%","14.5%","25%",-74,-34,-4.1,9.2,"29.7%",491,"27.4%",291,"26.0%",0.44,0.4
"Bang","100 Thieves","ADC",19,"42%","53%",45,28,96,5,"77.0%","24.6%","12.8%","21%",-32,-8,2.8,9.2,"31.3%",534,"31.3%",282,"26.9%",0.56,0.26
"Big","OpTic Gaming","Support",20,"50%","65%",11,50,129,2.8,"68.3%","5.4%","23.4%","25%",76,4,2.2,1.2,"4.2%",154,"8.7%",105,"9.5%",1.45,0.37
"Biofrost","Counter Logic Gaming","Support",19,"63%","21%",22,34,136,4.6,"73.5%","10.2%","18.3%","16%",36,129,-0.7,1.5,"4.3%",196,"11.1%",127,"10.8%",1.37,0.38
"Bjergsen","TSM","Middle",18,"56%","61%",58,33,82,4.2,"68.3%","28.3%","15.7%","11%",48,-12,1,8.6,"25.6%",491,"26.0%",275,"24.6%",0.48,0.17
"Blaber","Cloud9","Jungle",4,"50%","0%",13,10,33,4.6,"71.9%","20.3%","21.3%","100%",786,699,9.8,5.1,"14.5%",308,"15.0%",207,"18.2%",0.67,0.45
"Broken Blade","TSM","Top",18,"56%","56%",46,45,86,2.9,"64.4%","22.4%","21.4%","22%",-52,-36,0.2,8,"25.5%",438,"23.1%",252,"22.6%",0.55,0.16
"Cody Sun","Clutch Gaming","ADC",18,"50%","50%",60,26,71,5,"67.5%","30.9%","13.9%","22%",119,338,9,9.5,"31.2%",477,"27.8%",307,"27.1%",0.4,0.29
"Contractz","Golden Guardians","Jungle",19,"42%","42%",41,51,111,3,"72.0%","19.4%","20.2%","37%",-30,-35,-1.3,4.7,"13.4%",254,"13.2%",184,"16.5%",0.55,0.41
"CoreJJ","Team Liquid","Support",18,"78%","50%",14,33,183,6,"78.8%","5.6%","20.9%","44%",258,95,5.2,1.3,"4.1%",172,"9.2%",136,"11.2%",1.22,0.38
"Crown","OpTic Gaming","Middle",18,"50%","50%",48,43,76,2.9,"66.7%","25.8%","22.6%","33%",41,126,2.2,9.3,"28.2%",530,"30.6%",284,"25.3%",0.57,0.22
"Damonte","Clutch Gaming","Middle",18,"50%","28%",49,32,70,3.7,"61.3%","25.3%","17.1%","33%",-108,-216,-3.3,8.3,"24.3%",368,"21.7%",252,"22.7%",0.44,0.24
"Deftly","Golden Guardians","ADC",8,"50%","13%",20,15,43,4.2,"65.6%","20.8%","15.2%","25%",229,-161,-3.8,9.1,"28.7%",524,"29.6%",291,"24.8%",0.41,0.39
"Deftly","Cloud9","ADC",2,"50%","50%",10,4,14,6,"75.0%","31.3%","15.4%","50%",509,338,28.5,8.3,"32.1%",589,"25.8%",288,"24.8%",0.42,0.37
"Dhokla","OpTic Gaming","Top",20,"50%","30%",48,37,58,2.9,"51.7%","23.4%","17.3%","15%",-53,-40,-1.7,8,"24.8%",362,"21.2%",249,"22.6%",0.49,0.19
"Doublelift","Team Liquid","ADC",18,"78%","50%",78,33,112,5.8,"76.0%","31.2%","20.9%","44%",240,160,0.8,9.1,"29.8%",571,"29.8%",320,"26.4%",0.47,0.37
"FakeGod","100 Thieves","Top",15,"53%","67%",29,38,62,2.4,"55.8%","17.8%","22.8%","33%",-49,65,-3.4,7.4,"23.7%",373,"21.0%",230,"21.4%",0.54,0.17
"FBI","Golden Guardians","ADC",11,"36%","73%",37,34,52,2.6,"77.4%","32.2%","22.1%","36%",9,-251,-0.1,8.5,"27.9%",556,"26.5%",272,"24.8%",0.49,0.29
"Fenix","Echo Fox","Middle",14,"21%","29%",37,34,55,2.7,"69.7%","28.0%","16.0%","7%",-3,71,5.6,9,"27.8%",524,"29.6%",265,"25.1%",0.39,0.2
