Player,Team,Pos,GP,W%,CTR%,K,D,A,KDA,KP,KS%,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,EGPM,GOLD%,WPM,WCPM,MVP
Adrian,Dignitas,Support,22,0.64,,17,57,174,3.4,0.77,0.07,0.25,0.27,114,70,2.1,0.9,0.03,152,0.08,155,0.13,1.68,0.28,0
Akaadian,Echo Fox,Jungle,34,0.41,,60,86,148,2.4,0.64,0.19,0.21,0.47,124,66,2.1,4.4,0.14,244,0.13,195,0.18,0.69,0.3,0
Allorim,Phoenix1,Top,1,0.00,,0,5,1,0.2,0.33,0.00,0.25,0.00,-199,-497,-7,6.7,0.19,251,0.18,144,0.18,0.42,0,0
Altec,Dignitas,ADC,30,0.57,,104,51,130,4.6,0.74,0.33,0.16,0.17,106,104,2.5,9.3,0.32,517,0.28,296,0.26,0.41,0.28,0
aphromoo,Counter Logic Gaming,Support,46,0.59,,30,137,418,3.3,0.64,0.04,0.24,0.28,-5,2,-4.5,0.7,0.03,145,0.08,143,0.12,1.27,0.32,0
Apollo,Team EnVyUs,ADC,47,0.45,,127,91,225,3.9,0.67,0.24,0.17,0.26,171,18,5.9,9.3,0.29,485,0.26,277,0.24,0.43,0.28,0
Armao,Echo Fox,Jungle,9,0.22,,13,34,40,1.6,0.54,0.13,0.22,0.44,-20,38,-1.6,4.1,0.13,182,0.11,192,0.18,0.78,0.23,0
Arrow,Phoenix1,ADC,46,0.33,,131,103,250,3.7,0.75,0.26,0.17,0.15,-45,-105,-4.1,8.2,0.28,498,0.27,253,0.24,0.49,0.36,0
BalIs,FlyQuest,Top,44,0.39,,101,145,200,2.1,0.61,0.20,0.21,0.11,-31,-7,0,7.9,0.25,385,0.20,232,0.21,0.45,0.1,0
Benji,Dignitas,ADC,21,0.57,,51,43,120,4,0.68,0.20,0.17,0.24,-212,-216,-2.6,7.9,0.25,380,0.22,250,0.22,0.25,0.25,0
Big,Dignitas,Support,29,0.52,,24,99,197,2.2,0.69,0.08,0.27,0.21,-160,8,-2.5,0.6,0.02,203,0.11,124,0.11,1.4,0.33,0
Biofrost,TSM,Support,41,0.73,,31,86,401,5,0.74,0.05,0.18,0.17,-35,-121,0.7,1,0.03,160,0.08,143,0.12,1.39,0.38,0
Bjergsen,TSM,Middle,41,0.73,,193,67,261,6.8,0.78,0.33,0.14,0.24,97,56,5.9,8.8,0.26,665,0.30,293,0.24,0.41,0.14,1
Brandini,Echo Fox,Top,14,0.29,,20,46,41,1.3,0.58,0.19,0.25,0.21,-155,-73,-11.9,7.3,0.25,383,0.21,202,0.21,0.56,0.09,0
