Player,Team,Pos,GP,W%,CTR%,K,D,A,KDA,KP,KS%,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,EGPM,GOLD%,WPM,WCPM,MVP
Adrian,Echo Fox,Support,16.00,0.69,0.69,7.00,38.00,151.00,4.20,0.75,0.03,0.22,0.06,-178.00,-123.00,2.10,1.80,0.05,151.00,0.07,128.00,0.10,1.65,0.32,0
Akaadian,OpTic Gaming,Jungle,18.00,0.28,0.44,21.00,33.00,84.00,3.20,0.68,0.14,0.17,0.50,75.00,81.00,0.70,4.90,0.13,179.00,0.11,174.00,0.17,1.18,0.38,0
Altec,Echo Fox,ADC,19.00,0.63,0.26,70.00,41.00,110.00,4.40,0.74,0.29,0.19,0.11,-152.00,-86.00,-4.00,9.90,0.28,571.00,0.25,302.00,0.25,0.38,0.44,0
AnDa,FlyQuest,Jungle,16.00,0.38,0.75,17.00,39.00,99.00,3.00,0.80,0.12,0.21,0.25,-80.00,-197.00,-4.60,5.10,0.14,168.00,0.09,179.00,0.16,1.48,0.56,0
aphromoo,100 Thieves,Support,19.00,0.68,0.47,9.00,40.00,131.00,3.50,0.73,0.05,0.26,0.32,46.00,73.00,1.80,1.60,0.05,130.00,0.07,127.00,0.11,1.15,0.32,1
Apollo,Clutch Gaming,ADC,20.00,0.55,0.55,45.00,31.00,84.00,4.20,0.75,0.26,0.21,0.00,-76.00,-72.00,-0.50,9.80,0.28,484.00,0.27,283.00,0.25,0.44,0.42,0
Arrow,OpTic Gaming,ADC,18.00,0.28,0.67,44.00,31.00,66.00,3.50,0.71,0.29,0.16,0.33,-79.00,15.00,-5.50,9.30,0.29,509.00,0.29,275.00,0.26,0.52,0.51,0
Biofrost,Counter Logic Gaming,Support,18.00,0.39,0.67,9.00,45.00,138.00,3.30,0.78,0.05,0.21,0.22,15.00,-28.00,-1.20,1.60,0.05,141.00,0.07,120.00,0.11,1.39,0.41,0
Bjergsen,TSM,Middle,20.00,0.65,0.40,72.00,20.00,98.00,8.50,0.78,0.33,0.13,0.25,107.00,227.00,5.80,10.10,0.27,603.00,0.30,304.00,0.25,0.39,0.18,0
Cody Sun,100 Thieves,ADC,19.00,0.68,0.53,79.00,20.00,85.00,8.20,0.85,0.41,0.13,0.32,40.00,126.00,-0.20,10.20,0.31,684.00,0.36,316.00,0.27,0.41,0.37,0
Contractz,Golden Guardians,Jungle,18.00,0.22,0.56,27.00,56.00,86.00,2.00,0.72,0.17,0.26,0.28,-211.00,-195.00,-3.80,4.90,0.13,243.00,0.13,174.00,0.16,1.60,0.46,0
Damonte,Echo Fox,Middle,3.00,0.33,1.00,8.00,6.00,14.00,3.70,0.71,0.26,0.17,0.33,73.00,-74.00,5.70,9.10,0.25,435.00,0.20,257.00,0.25,0.57,0.21,0
Dardoch,Echo Fox,Jungle,19.00,0.63,0.37,39.00,38.00,139.00,4.70,0.73,0.16,0.18,0.47,152.00,107.00,1.40,5.00,0.12,250.00,0.12,195.00,0.16,0.88,0.46,0
Darshan,Counter Logic Gaming,Top,18.00,0.39,0.44,37.00,42.00,88.00,3.00,0.67,0.20,0.20,0.44,10.00,55.00,2.60,8.20,0.24,450.00,0.22,250.00,0.23,0.62,0.14,0
Deftly,Golden Guardians,ADC,18.00,0.22,0.33,49.00,36.00,64.00,3.10,0.72,0.31,0.16,0.17,-1.00,29.00,0.80,10.00,0.30,576.00,0.29,282.00,0.27,0.40,0.35,0
Dhokla,OpTic Gaming,Top,6.00,0.33,0.00,5.00,18.00,22.00,1.50,0.55,0.10,0.28,0.17,-270.00,-174.00,-15.80,8.20,0.27,310.00,0.20,223.00,0.22,0.53,0.16,0
Doublelift,Team Liquid,ADC,20.00,0.60,0.55,60.00,22.00,83.00,6.50,0.75,0.32,0.13,0.20,30.00,-4.00,3.60,10.60,0.29,527.00,0.29,310.00,0.26,0.45,0.45,0
FEBIVEN,Clutch Gaming,Middle,20.00,0.55,0.40,64.00,18.00,67.00,7.30,0.77,0.37,0.12,0.15,-42.00,85.00,5.30,9.90,0.28,474.00,0.27,289.00,0.25,0.46,0.22,0
Fenix,Echo Fox,Middle,16.00,0.69,0.63,65.00,26.00,83.00,5.70,0.70,0.31,0.15,0.13,274.00,185.00,7.90,9.70,0.26,656.00,0.30,296.00,0.24,0.36,0.25,0
Flame,FlyQuest,Top,18.00,0.33,0.39,33.00,31.00,81.00,3.70,0.73,0.21,0.14,0.22,177.00,66.00,5.30,9.00,0.26,464.00,0.24,261.00,0.24,0.57,0.22,0
Fly,FlyQuest,Middle,12.00,0.33,0.58,22.00,29.00,60.00,2.80,0.76,0.20,0.23,0.33,-107.00,-70.00,-4.80,8.50,0.22,537.00,0.27,238.00,0.21,0.48,0.21,0
Hai,Golden Guardians,Middle,18.00,0.22,0.44,34.00,52.00,87.00,2.30,0.78,0.22,0.24,0.17,-320.00,-230.00,-8.70,9.00,0.26,539.00,0.29,249.00,0.24,0.58,0.26,0
Hakuho,Clutch Gaming,Support,20.00,0.55,0.55,12.00,32.00,123.00,4.20,0.79,0.07,0.21,0.05,3.00,56.00,-0.60,1.60,0.05,161.00,0.10,130.00,0.11,1.40,0.47,0
Hauntzer,TSM,Top,20.00,0.65,0.45,49.00,43.00,94.00,3.30,0.65,0.22,0.28,0.20,128.00,26.00,1.60,9.50,0.27,539.00,0.27,302.00,0.24,0.64,0.18,0
huhi,Counter Logic Gaming,Middle,18.00,0.39,0.56,51.00,42.00,98.00,3.50,0.79,0.27,0.20,0.39,-52.00,-149.00,-4.30,9.30,0.27,634.00,0.30,264.00,0.24,0.53,0.26,0
Huni,Echo Fox,Top,19.00,0.63,0.58,52.00,54.00,113.00,3.10,0.68,0.21,0.26,0.21,322.00,244.00,8.20,9.80,0.29,601.00,0.27,307.00,0.25,0.52,0.21,0
Impact,Team Liquid,Top,20.00,0.60,0.70,38.00,35.00,89.00,3.60,0.67,0.20,0.21,0.30,34.00,40.00,-1.70,8.50,0.23,424.00,0.24,254.00,0.21,0.59,0.13,0
JayJ,FlyQuest,Support,2.00,0.00,0.50,1.00,6.00,6.00,1.20,0.70,0.10,0.26,1.00,-7.00,97.00,-6.50,1.00,0.03,222.00,0.13,96.00,0.10,1.54,0.30,0
Jensen,Cloud9,Middle,20.00,0.60,0.50,69.00,24.00,100.00,7.00,0.76,0.31,0.12,0.40,106.00,110.00,2.50,10.20,0.28,577.00,0.28,301.00,0.25,0.38,0.24,0
Keane,FlyQuest,Middle,6.00,0.33,0.33,14.00,20.00,25.00,2.00,0.81,0.29,0.23,0.00,-79.00,6.00,-1.00,9.30,0.27,495.00,0.27,248.00,0.23,0.33,0.19,0
LemonNation,OpTic Gaming,Support,18.00,0.28,0.44,8.00,49.00,93.00,2.10,0.66,0.05,0.25,0.28,41.00,-7.00,-0.30,1.60,0.05,147.00,0.09,118.00,0.11,1.32,0.36,0
Licorice,Cloud9,Top,20.00,0.60,0.65,57.00,49.00,83.00,2.90,0.63,0.26,0.23,0.20,107.00,97.00,4.60,9.20,0.26,536.00,0.26,280.00,0.23,0.69,0.22,0
Lira,Clutch Gaming,Jungle,20.00,0.55,0.55,22.00,34.00,96.00,3.50,0.69,0.13,0.23,0.20,-267.00,-102.00,0.40,5.40,0.14,173.00,0.10,190.00,0.17,1.17,0.48,0
Lourlo,Golden Guardians,Top,18.00,0.22,0.50,34.00,29.00,69.00,3.60,0.66,0.22,0.13,0.06,-157.00,-88.00,-1.20,8.90,0.26,407.00,0.23,249.00,0.24,0.55,0.16,0
Matt Elento,Golden Guardians,Support,18.00,0.22,0.50,12.00,46.00,110.00,2.70,0.78,0.08,0.21,0.22,-13.00,-92.00,-3.70,1.70,0.05,135.00,0.08,112.00,0.10,1.42,0.27,0
Meteos,100 Thieves,Jungle,19.00,0.68,0.47,24.00,30.00,122.00,4.90,0.76,0.13,0.19,0.63,83.00,55.00,0.20,4.90,0.13,156.00,0.09,189.00,0.16,1.21,0.47,0
MikeYeung,TSM,Jungle,20.00,0.65,0.45,27.00,38.00,132.00,4.20,0.73,0.12,0.25,0.50,48.00,-16.00,0.20,4.90,0.12,181.00,0.09,194.00,0.16,1.19,0.35,0
Mithy,TSM,Support,20.00,0.65,0.25,13.00,35.00,138.00,4.30,0.69,0.06,0.23,0.35,-32.00,-101.00,4.40,1.90,0.06,121.00,0.06,135.00,0.11,1.61,0.28,0
Olleh,Team Liquid,Support,20.00,0.60,0.35,13.00,37.00,124.00,3.70,0.72,0.07,0.22,0.25,-9.00,5.00,1.80,1.90,0.05,142.00,0.08,133.00,0.11,1.56,0.43,0
PapaChau,Echo Fox,Support,3.00,0.33,0.67,2.00,9.00,22.00,2.70,0.77,0.07,0.25,0.33,-115.00,-321.00,-8.00,1.10,0.03,216.00,0.09,94.00,0.08,1.16,0.20,0
Pobelter,Team Liquid,Middle,20.00,0.60,0.45,56.00,37.00,87.00,3.90,0.75,0.30,0.22,0.30,-2.00,-44.00,0.40,10.70,0.29,515.00,0.29,307.00,0.26,0.58,0.37,0
PowerOfEvil,OpTic Gaming,Middle,18.00,0.28,0.56,67.00,32.00,58.00,3.90,0.81,0.44,0.16,0.44,21.00,-93.00,-3.80,10.10,0.31,571.00,0.33,289.00,0.27,0.63,0.24,0
Reignover,Counter Logic Gaming,Jungle,18.00,0.39,0.56,18.00,43.00,120.00,3.20,0.73,0.10,0.20,0.61,105.00,159.00,1.70,4.80,0.13,193.00,0.09,173.00,0.16,1.07,0.40,0
Ryu,100 Thieves,Middle,19.00,0.68,0.53,43.00,32.00,89.00,4.10,0.69,0.22,0.21,0.21,5.00,-53.00,-2.90,9.30,0.26,494.00,0.27,269.00,0.23,0.66,0.35,0
Shrimp,FlyQuest,Jungle,2.00,0.00,0.50,1.00,10.00,5.00,0.60,0.60,0.10,0.30,0.00,-307.00,-219.00,-4.50,4.50,0.11,150.00,0.08,135.00,0.15,1.32,0.54,0
Smoothie,Cloud9,Support,20.00,0.60,0.50,12.00,46.00,157.00,3.70,0.76,0.05,0.22,0.30,73.00,87.00,0.40,1.30,0.03,116.00,0.06,121.00,0.10,1.37,0.28,0
Sneaky,Cloud9,ADC,20.00,0.60,0.60,52.00,37.00,105.00,4.20,0.70,0.23,0.18,0.15,102.00,55.00,2.00,10.30,0.29,645.00,0.31,305.00,0.25,0.38,0.49,0
Solo,Clutch Gaming,Top,20.00,0.55,0.50,28.00,35.00,69.00,2.80,0.57,0.16,0.23,0.10,-187.00,-190.00,-5.90,8.90,0.25,461.00,0.26,266.00,0.23,0.62,0.17,0
Ssumday,100 Thieves,Top,19.00,0.68,0.42,37.00,33.00,93.00,3.90,0.68,0.19,0.21,0.42,-148.00,-26.00,-1.90,8.60,0.26,381.00,0.22,254.00,0.22,0.63,0.29,0
