Player,Team,Pos,GP,W%,CTR%,K,D,A,KDA,KP,KS%,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,EGPM,GOLD%,WPM,WCPM,MVP
Adrian,Echo Fox,Support,2.00,1.00,0.00,2.00,6.00,18.00,3.30,0.61,0.06,0.21,0.50,777.00,128.00,19.00,2.50,0.09,162.00,0.07,153.00,0.11,1.01,0.13,0
Akaadian,OpTic Gaming,Jungle,16.00,0.56,0.56,21.00,33.00,73.00,2.80,0.64,0.14,0.22,0.31,-41.00,34.00,1.80,5.20,0.15,217.00,0.12,190.00,0.17,0.43,0.48,0
Allorim,OpTic Gaming,Top,4.00,0.25,0.25,9.00,9.00,14.00,2.60,0.70,0.27,0.20,0.00,-705.00,-274.00,-14.50,8.00,0.23,424.00,0.23,223.00,0.22,0.42,0.11,0
Altec,Echo Fox,ADC,10.00,0.60,0.67,32.00,26.00,39.00,2.70,0.56,0.25,0.16,0.00,97.00,110.00,3.00,9.30,0.27,506.00,0.23,274.00,0.24,0.45,0.26,0
AnDa,100 Thieves,Jungle,14.00,0.57,0.36,32.00,40.00,101.00,3.30,0.67,0.16,0.25,0.43,54.00,23.00,-2.90,4.60,0.13,243.00,0.13,196.00,0.17,0.64,0.51,0
aphromoo,100 Thieves,Support,20.00,0.60,0.65,18.00,55.00,169.00,3.40,0.68,0.07,0.25,0.10,-10.00,-11.00,-0.30,1.30,0.04,127.00,0.07,119.00,0.10,1.25,0.34,0
Apollo,Clutch Gaming,ADC,16.00,0.38,0.53,54.00,40.00,59.00,2.80,0.65,0.31,0.18,0.19,-232.00,-163.00,-4.90,9.50,0.29,449.00,0.24,279.00,0.25,0.50,0.34,0
Armao,TSM,Jungle,20.00,0.55,0.65,35.00,34.00,99.00,3.90,0.64,0.17,0.18,0.45,-147.00,-242.00,-5.40,4.80,0.13,161.00,0.09,189.00,0.16,0.47,0.26,0
Arrow,OpTic Gaming,ADC,18.00,0.50,0.56,36.00,22.00,66.00,4.60,0.68,0.24,0.13,0.11,-86.00,-117.00,-3.90,8.60,0.25,442.00,0.24,254.00,0.23,0.48,0.43,0
Big,OpTic Gaming,Support,18.00,0.50,0.67,3.00,36.00,93.00,2.70,0.64,0.02,0.21,0.11,-53.00,21.00,-2.40,1.20,0.04,130.00,0.07,98.00,0.09,1.51,0.30,0
Biofrost,Counter Logic Gaming,Support,18.00,0.39,0.56,15.00,39.00,124.00,3.60,0.71,0.08,0.21,0.22,139.00,5.00,-0.60,1.40,0.05,132.00,0.09,114.00,0.10,1.42,0.41,0
Bjergsen,TSM,Middle,20.00,0.55,0.35,67.00,32.00,80.00,4.60,0.71,0.32,0.17,0.25,136.00,300.00,6.50,9.30,0.26,452.00,0.25,277.00,0.24,0.40,0.13,0
Blaber,Cloud9,Jungle,9.00,0.89,0.22,26.00,22.00,67.00,4.20,0.77,0.22,0.28,0.44,143.00,194.00,4.60,6.00,0.17,395.00,0.21,239.00,0.19,0.41,0.46,0
bobqin,Golden Guardians,Middle,2.00,0.00,0.00,4.00,4.00,3.00,1.80,0.58,0.33,0.14,0.00,-219.00,-394.00,-3.50,9.80,0.30,324.00,0.21,253.00,0.27,0.64,0.19,0
Cody Sun,100 Thieves,ADC,20.00,0.60,0.60,85.00,36.00,110.00,5.40,0.71,0.31,0.17,0.10,-51.00,247.00,2.70,10.30,0.31,549.00,0.29,319.00,0.27,0.36,0.28,0
Contractz,Golden Guardians,Jungle,18.00,0.28,0.33,37.00,68.00,103.00,2.10,0.71,0.19,0.34,0.44,-169.00,-88.00,-6.00,5.00,0.14,332.00,0.18,183.00,0.17,0.46,0.31,0
Damonte,Echo Fox,Middle,14.00,0.50,0.57,41.00,33.00,46.00,2.60,0.57,0.27,0.19,0.36,162.00,-108.00,0.00,9.30,0.27,406.00,0.20,266.00,0.24,0.45,0.15,0
Dardoch,Echo Fox,Jungle,20.00,0.55,0.47,48.00,65.00,120.00,2.60,0.69,0.20,0.23,0.30,41.00,254.00,7.10,5.50,0.15,302.00,0.15,205.00,0.18,0.33,0.40,0
Darshan,Counter Logic Gaming,Top,17.00,0.35,0.35,30.00,41.00,66.00,2.30,0.53,0.17,0.23,0.47,-20.00,33.00,-0.80,7.80,0.22,355.00,0.22,220.00,0.20,0.56,0.08,0
Deftly,Golden Guardians,ADC,18.00,0.28,0.33,54.00,16.00,66.00,7.50,0.61,0.28,0.08,0.17,231.00,209.00,9.60,9.80,0.28,439.00,0.25,279.00,0.26,0.32,0.24,0
Dhokla,OpTic Gaming,Top,14.00,0.57,0.43,23.00,39.00,48.00,1.80,0.60,0.20,0.30,0.21,-134.00,-77.00,-2.20,9.40,0.27,429.00,0.24,268.00,0.24,0.43,0.14,0
Doublelift,Team Liquid,ADC,18.00,0.67,0.61,68.00,25.00,73.00,5.60,0.73,0.35,0.14,0.28,152.00,59.00,4.90,10.20,0.30,522.00,0.30,313.00,0.27,0.39,0.38,1
FallenBandit,Counter Logic Gaming,Top,1.00,1.00,0.00,1.00,1.00,7.00,8.00,0.50,0.06,0.20,0.00,-932.00,-260.00,-32.00,7.90,0.22,319.00,0.18,237.00,0.18,0.66,0.25,0
FEBIVEN,Clutch Gaming,Middle,18.00,0.33,0.47,39.00,41.00,83.00,3.00,0.65,0.21,0.16,0.06,-68.00,21.00,2.50,9.00,0.26,417.00,0.23,243.00,0.23,0.45,0.12,0
Feng,Echo Fox,Support,8.00,0.50,0.38,6.00,26.00,58.00,2.50,0.68,0.06,0.19,0.00,-191.00,-33.00,6.50,1.30,0.05,169.00,0.08,104.00,0.10,1.30,0.26,0
Fenix,Echo Fox,Middle,6.00,0.67,1.00,20.00,19.00,41.00,3.20,0.66,0.22,0.19,0.00,-669.00,-469.00,-10.40,8.00,0.23,474.00,0.22,248.00,0.21,0.31,0.10,0
Flame,FlyQuest,Top,20.00,0.50,0.70,46.00,46.00,90.00,3.00,0.59,0.20,0.19,0.25,240.00,280.00,6.50,8.90,0.27,406.00,0.24,263.00,0.24,0.46,0.12,0
Galen,Clutch Gaming,Jungle,2.00,0.00,0.00,3.00,4.00,9.00,3.00,0.86,0.21,0.17,0.00,-149.00,-180.00,-7.00,4.40,0.12,77.00,0.05,147.00,0.17,0.38,0.45,0
Gate,OpTic Gaming,Jungle,2.00,0.00,0.50,0.00,5.00,4.00,0.80,0.80,0.00,0.20,0.00,-835.00,-580.00,-21.50,1.20,0.04,50.00,0.04,83.00,0.09,1.24,0.38,0
Goldenglue,Cloud9,Middle,7.00,0.29,0.57,18.00,13.00,35.00,4.10,0.71,0.24,0.15,0.43,306.00,341.00,7.10,9.20,0.25,631.00,0.32,271.00,0.23,0.56,0.29,0
Griffin,Counter Logic Gaming,Jungle,2.00,1.00,0.50,11.00,1.00,10.00,21.00,0.64,0.33,0.07,0.50,616.00,384.00,5.00,5.60,0.15,240.00,0.13,261.00,0.20,0.38,0.43,0
Hakuho,Clutch Gaming,Support,16.00,0.38,0.40,12.00,52.00,101.00,2.20,0.65,0.07,0.23,0.19,-27.00,-176.00,-1.80,1.10,0.04,207.00,0.11,110.00,0.10,1.46,0.48,0
Hauntzer,TSM,Top,20.00,0.55,0.40,43.00,47.00,82.00,2.70,0.60,0.21,0.25,0.20,-120.00,-46.00,-3.80,9.60,0.29,422.00,0.25,283.00,0.25,0.53,0.20,0
huhi,Counter Logic Gaming,Middle,18.00,0.39,0.56,52.00,33.00,83.00,4.10,0.69,0.27,0.18,0.33,-116.00,-27.00,-4.10,9.50,0.29,410.00,0.26,267.00,0.25,0.60,0.21,0
Huni,Echo Fox,Top,20.00,0.55,0.42,50.00,65.00,111.00,2.50,0.66,0.21,0.23,0.25,84.00,-91.00,4.60,9.30,0.29,611.00,0.31,288.00,0.25,0.45,0.14,0
Impact,Team Liquid,Top,18.00,0.67,0.50,40.00,36.00,96.00,3.80,0.70,0.21,0.20,0.22,-49.00,-106.00,-3.90,8.70,0.24,421.00,0.24,264.00,0.22,0.44,0.12,0
JayJ,FlyQuest,Support,16.00,0.56,0.50,13.00,43.00,102.00,2.70,0.59,0.07,0.25,0.19,70.00,98.00,3.00,1.80,0.06,139.00,0.08,124.00,0.11,1.39,0.28,0
Jensen,Cloud9,ADC,2.00,0.00,0.50,9.00,8.00,14.00,2.90,0.72,0.28,0.22,0.50,-369.00,521.00,-7.00,8.30,0.27,430.00,0.18,263.00,0.23,0.28,0.15,0
Jensen,Cloud9,Middle,11.00,0.82,0.55,47.00,15.00,67.00,7.60,0.76,0.31,0.14,0.18,134.00,169.00,7.00,9.40,0.26,479.00,0.23,294.00,0.24,0.37,0.22,0
Keane,FlyQuest,Middle,20.00,0.50,0.40,59.00,51.00,90.00,2.90,0.65,0.26,0.21,0.10,-137.00,-123.00,-9.70,8.20,0.25,444.00,0.26,243.00,0.22,0.37,0.14,0
Keith,Cloud9,ADC,4.00,0.25,0.25,6.00,11.00,12.00,1.60,0.55,0.18,0.22,0.25,-266.00,-323.00,-8.00,9.20,0.26,423.00,0.26,264.00,0.23,0.51,0.40,0
Kwon,FlyQuest,Support,4.00,0.25,0.50,4.00,14.00,19.00,1.60,0.64,0.11,0.21,0.25,-91.00,49.00,-5.00,1.30,0.05,107.00,0.06,92.00,0.09,1.32,0.28,0
Licorice,Cloud9,Top,18.00,0.61,0.39,52.00,29.00,89.00,4.90,0.62,0.23,0.15,0.28,282.00,238.00,7.10,9.50,0.27,454.00,0.23,296.00,0.25,0.50,0.14,0
Lira,Clutch Gaming,Jungle,16.00,0.38,0.67,36.00,45.00,79.00,2.60,0.67,0.21,0.20,0.31,-37.00,-70.00,3.70,5.60,0.15,256.00,0.14,195.00,0.18,0.62,0.47,0
Lost,Echo Fox,ADC,10.00,0.50,0.30,37.00,18.00,46.00,4.60,0.71,0.32,0.15,0.00,74.00,-142.00,1.10,9.20,0.27,549.00,0.28,289.00,0.25,0.43,0.29,0
Lourlo,Golden Guardians,Top,18.00,0.28,0.83,38.00,32.00,61.00,3.10,0.51,0.19,0.16,0.17,-132.00,-196.00,-4.80,8.90,0.26,360.00,0.21,252.00,0.23,0.50,0.14,0
Matt Elento,Golden Guardians,Support,18.00,0.28,0.39,16.00,47.00,115.00,2.80,0.67,0.08,0.23,0.28,55.00,61.00,-2.60,1.20,0.04,204.00,0.11,104.00,0.10,1.43,0.30,0
Meteos,100 Thieves,Jungle,6.00,0.67,0.50,8.00,14.00,38.00,3.30,0.60,0.10,0.25,0.33,-131.00,-104.00,-5.00,3.80,0.11,175.00,0.11,177.00,0.16,0.56,0.36,0
Mickey,Golden Guardians,Middle,16.00,0.31,0.44,47.00,35.00,81.00,3.70,0.70,0.26,0.20,0.31,-6.00,-457.00,-5.90,9.40,0.28,472.00,0.26,267.00,0.25,0.56,0.24,0
Mithy,TSM,Support,20.00,0.55,0.50,9.00,45.00,114.00,2.70,0.59,0.04,0.24,0.25,-72.00,-80.00,1.00,1.50,0.04,134.00,0.08,111.00,0.09,1.65,0.35,0
Olleh,Team Liquid,Support,18.00,0.67,0.44,13.00,44.00,128.00,3.20,0.73,0.07,0.25,0.28,143.00,144.00,-0.30,1.70,0.05,196.00,0.11,131.00,0.11,1.47,0.35,0
Piglet,Clutch Gaming,ADC,2.00,0.00,0.50,5.00,6.00,5.00,1.70,0.71,0.36,0.25,0.00,57.00,-184.00,-12.00,8.50,0.28,699.00,0.38,237.00,0.25,0.56,0.30,0
Pobelter,Team Liquid,Middle,18.00,0.67,0.67,42.00,35.00,95.00,3.90,0.71,0.22,0.20,0.11,13.00,24.00,4.20,9.50,0.26,414.00,0.23,277.00,0.23,0.55,0.23,0
PowerOfEvil,OpTic Gaming,Middle,18.00,0.50,0.61,59.00,32.00,60.00,3.70,0.79,0.39,0.18,0.28,208.00,453.00,8.20,10.60,0.32,612.00,0.34,304.00,0.28,0.55,0.31,0
Reignover,Counter Logic Gaming,Jungle,16.00,0.31,0.44,28.00,44.00,98.00,2.90,0.77,0.17,0.26,0.69,111.00,-29.00,-0.20,4.90,0.13,220.00,0.14,184.00,0.17,0.61,0.37,0
Ryu,100 Thieves,Middle,20.00,0.60,0.35,55.00,45.00,136.00,4.20,0.70,0.20,0.21,0.40,-136.00,-215.00,-5.20,7.90,0.22,493.00,0.26,246.00,0.21,0.43,0.21,0
Santorin,FlyQuest,Jungle,20.00,0.50,0.60,44.00,42.00,125.00,4.00,0.73,0.19,0.18,0.30,35.00,-184.00,-5.60,4.50,0.12,218.00,0.13,185.00,0.17,0.47,0.38,0
Smoothie,Echo Fox,Support,10.00,0.50,0.40,8.00,21.00,74.00,3.90,0.70,0.07,0.18,0.00,-6.00,65.00,0.80,1.20,0.03,142.00,0.07,106.00,0.09,1.34,0.15,0
Smoothie,Cloud9,Support,2.00,0.00,0.50,2.00,6.00,19.00,3.50,0.66,0.06,0.16,1.00,341.00,243.00,-6.50,0.50,0.02,244.00,0.10,115.00,0.10,1.35,0.23,0
Sneaky,Cloud9,ADC,12.00,0.83,0.50,37.00,24.00,70.00,4.50,0.67,0.23,0.22,0.00,-308.00,-23.00,-8.70,9.90,0.29,520.00,0.25,305.00,0.24,0.42,0.28,0
